,iso,Country_mbg,Country_who2017,Country_who2016
1,AGO,Angola,Angola,Angola
2,BDI,Burundi,Burundi,Burundi
3,BEN,Benin,Benin,Benin
4,BFA,Burkina Faso,Burkina Faso,Burkina Faso
5,BWA,Botswana,Botswana,Botswana
6,CAF,Central African Republic,Central African Republic,Central African Republic
7,CIV,Cote d'Ivoire,Cote d'Ivoire,Côte d'Ivoire
8,CMR,Cameroon,Cameroon,Cameroon
9,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo
10,COG,Congo,Congo,Congo
11,COM,Comoros,Comoros,Comoros
12,CPV,Cape Verde,Cape Verde,Cape Verde
13,DJI,Djibouti,NA,NA
14,DZA,Algeria,Algeria,Algeria
15,EGY,Egypt,NA,NA
16,ERI,Eritrea,Eritrea,Eritrea
17,ETH,Ethiopia,Ethiopia,Ethiopia
18,GAB,Gabon,Gabon,Gabon
19,GHA,Ghana,Ghana,Ghana
20,GIN,Guinea,Guinea,Guinea
21,GMB,Gambia,Gambia,Gambia
22,GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
23,GNQ,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
24,KEN,Kenya,Kenya,Kenya
25,LBR,Liberia,Liberia,Liberia
26,LSO,Lesotho,Lesotho,Lesotho
27,MDG,Madagascar,Madagascar,Madagascar
28,MLI,Mali,Mali,Mali
29,MOZ,Mozambique,Mozambique,Mozambique
30,MRT,Mauritania,Mauritania,Mauritania
32,MWI,Malawi,Malawi,Malawi
33,NAM,Namibia,Namibia,Namibia
34,NER,Niger,Niger,Niger
35,NGA,Nigeria,Nigeria,NA
36,RWA,Rwanda,Rwanda,Rwanda
37,SDN,Sudan,NA,NA
38,SEN,Senegal,Senegal,Senegal
39,SLE,Sierra Leone,Sierra Leone,Sierra Leone
40,SSD,South Sudan,South Sudan,South Sudan
41,STP,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
42,SWZ,Swaziland,Swaziland,Swaziland
43,SYC,Seychelles,Seychelles,Seychelles
44,TCD,Chad,Chad,Chad
45,TGO,Togo,Togo,Togo
46,TZA,Tanzania,Tanzania,Tanzania
47,UGA,Uganda,Uganda,Uganda
48,ZAF,South Africa,South Africa,South Africa
49,ZMB,Zambia,Zambia,Zambia
50,ZWE,Zimbabwe,Zimbabwe,Zimbabwe
