 ,countries,gaul_adm2,gadm_adm2,gaul_adm1,gadm_adm1,Unit match_2017,,Note,,,,,,,,Unit match_2016
1,Angola,104.4,101.8,922.2,922.2,101.8,,,,,,,,,,104.4
2,Burundi,34.3,34.6,270.6,270.6,34.3,,,,,,,,,,34.3
13,Algeria,3.1,3.2,100,100,100,,,,,,,,,,100
4,Burkina Faso,155.6,155.6,538.5,538.5,155.6,,,,,,,,,,155.6
5,Botswana,240,80,240,150,80,,,,,,,,,,80
6,Central African Republic,42.3,58.8,176.5,176.5,58.8,,,,,,,,,,58.8
7,Cote d'Ivoire,251.5,242,592.9,592.9,242,,,,,,,,,,241.2
8,Cameroon,325.9,325.9,1890,1890,325.9,,,,,,,,,,325.9
9,Democratic Republic of the Congo,1032,215,4690.9,1984.6,215,,,,,,,,,,1036
10,Congo,46.1,85.4,341.7,341.7,85.4,,,,,,,,,,85.4
11,Comoros,566.7,566.7,566.7,566.7,566.7,,,,,,,,,,566.7
3,Benin,100,101.3,641.7,641.7,100,,,,,,,,,,100
12,Cape Verde,100,100,157.1,100,100,,,,,,,,,,100
14,Eritrea,100,116,828.6,966.7,100,,,,,,,,,,100
15,Ethiopia,1138.7,1081,7763.6,7763.6,1081,,,,,,,,,,1042.5
16,Gabon,106.3,137.8,566.7,566.7,106.3,,,,,,,,,,106.3
17,Ghana,100,157.7,2160,2160,100,,,,,,,,,,100
18,Guinea,100,111.8,475,475,100,,,,,,,,,,100
19,Gambia,18.9,18.9,116.7,116.7,116.7,,,,,,,,,,116.7
20,Guinea-Bissau,28.2,29.7,122.2,122.2,122.2,,,,,,,,,,122.2
21,Equatorial Guinea,257.1,56.3,257.1,257.1,56.3,,,,,,,,,,56.3
22,Kenya,63.5,15.6,587.5,100,100,,,,,,,,,,100
24,Lesotho,4,100,100,100,100,,,,,,,,,,100
23,Liberia,11,22.7,100,100,100,,,,,,,,,,100
25,Madagascar,95.8,518.2,518.2,1900,95.8,,,,,,,,,,95
26,Mali,150,150,833.3,833.3,150,,,,,,,,,,130
27,Mozambique,111,124.8,1463.6,1463.6,111,,,,,,,,,,109.7
28,Mauritania,125,125,423.1,423.1,125,,,,,,,,,,125
29,Malawi,96.6,10.9,700,100,100,,,,,,,,,,100
30,Namibia,31.8,31.8,261.5,261.5,31.8,,,,,,,,,,31.8
31,Niger,189.5,200,900,900,189.5,,,,,,,,,,115.8
32,Rwanda,100,100,600,600,100,,,,,,,,,,100
33,Senegal,176.7,168.9,542.9,542.9,168.9,,,,,,,,,,165.2
36,Sao Tome and Principe,350,100,350,350,100,,,,,,,,,,100
35,South Sudan,173.9,177.8,800,800,173.9,,,,,,,,,,173.9
34,Sierra Leone,100,100,350,350,100,,,,,,,,,,100
43,South Africa,100,100,577.8,577.8,100,,,,,,,,,,100
38,Seychelles,26.7,61.5,26.7,61.5,61.5,,,,,,,,,,57.7
39,Chad,33.4,210.9,414.3,504.3,33.4,,,,,,,,,,28.5
40,Togo,133.3,190.5,800,800,133.3,,,,,,,,,,133.3
41,Tanzania,106.6,106,646.7,646.7,106,,,,,,,,,,98.4
42,Uganda,68.2,69.9,103.6,200,103.6,,100% match 2016 but not 2017,,,,,,,,100
37,Swaziland,7.5,7.3,100,100,100,,,,,,,,,,100
44,Zambia,151.4,151.4,1211.1,1090,151.4,,,,,,,,,,143.1
45,Zimbabwe,101.6,105,630,630,101.6,,,,,,,,,,101.6
46,Djibouti,,,,,,,,,,,,,,,
47,Egypt,,,,,,,,,,,,,,,
48,Nigeria,99.9,99.9,2091.9,2091.9,99.9,,,,,,,,,,NA
49,Sudan,,,,,,,,,,,,,,,
